Name,Items,Slug,Color,Description,ID,Weight,Object Types,Created,Last updated
ANDROID,0,android,#4caf50,DEVICE-TYPE,11,1000,dcim.device,2024-09-10T14:09:58.610653+00:00,2024-09-10T14:09:58.610664+00:00
Automated,0,automated,#9e9e9e,,26,1000,,2025-03-17T13:54:03.455921+00:00,2025-03-17T13:54:03.455929+00:00
BALHQ CLI,295,balhq-cli,#2196f3,Balmung HQ Clients,1,1000,"ipam.prefix,ipam.iprange",2024-09-05T09:12:01.750196+00:00,2024-10-15T13:20:17.571301+00:00
BALHQ SRV,88,balhq-srv,#ffeb3b,Balmung HQ Server,2,1000,"ipam.prefix,ipam.iprange",2024-09-05T09:12:16.664048+00:00,2024-10-15T12:57:05.606055+00:00
BLACKHO,258,blackho,#111111,BlackHorizen,5,1000,"ipam.prefix,ipam.iprange",2024-09-06T05:52:12.901368+00:00,2024-10-15T12:57:38.348316+00:00
CLIENT,2,client,#03a9f4,DEVICE-CONFIG,7,1000,"dcim.devicetype,dcim.devicerole",2024-09-10T13:49:21.321433+00:00,2024-09-10T13:53:19.829756+00:00
DHCP-POOL,4103,dhcp-pool,#795548,IPAM-VIEW,6,1000,ipam.ipaddress,2024-09-09T07:19:56.849653+00:00,2024-09-10T13:53:40.997582+00:00
DMZ,33,dmz,#ff9800,,19,1000,"ipam.prefix,ipam.iprange,ipam.ipaddress",2024-09-13T06:30:04.998675+00:00,2024-10-15T12:56:48.374989+00:00
HETZNER,11,hetzner,#f44336,external hosted,21,1000,,2024-11-14T15:13:57.973765+00:00,2024-11-14T15:13:57.973776+00:00
INFRA,0,infra,#009688,DEVICE-CONFIG,17,1000,dcim.devicerole,2024-09-10T14:36:42.301387+00:00,2024-09-10T14:36:42.301397+00:00
KIRCHBI-OB,8,kirchbi-ob,#9c27b0,Kirchbichl OB - Privat,3,1000,"ipam.prefix,ipam.iprange",2024-09-05T12:02:11.584885+00:00,2024-10-15T12:57:56.026447+00:00
LAPTOP,0,laptop,#795548,DEVICE-TYPE,10,1000,dcim.device,2024-09-10T14:09:18.439193+00:00,2024-09-10T14:09:18.439206+00:00
LINUX,0,linux,#ff5722,DEVICE-TYPE,14,1000,dcim.devicetype,2024-09-10T14:34:57.269588+00:00,2024-09-10T14:35:29.696572+00:00
MOBILE,1,mobile,#673ab7,DEVICE-CONFIG,8,1000,"dcim.devicetype,dcim.devicerole",2024-09-10T13:49:44.221170+00:00,2024-09-10T13:53:27.969060+00:00
SERVER,0,server,#9e9e9e,DEVICE-CONFIG,16,1000,dcim.devicerole,2024-09-10T14:36:31.587473+00:00,2024-09-10T14:36:31.587484+00:00
SONVIDA,8,sonvida,#f44336,Son Vida,4,1000,"ipam.prefix,ipam.iprange",2024-09-05T12:02:30.824165+00:00,2024-10-15T12:58:06.257158+00:00
WINDOWS,0,windows,#3f51b5,DEVICE-TYPE,15,1000,dcim.devicetype,2024-09-10T14:35:14.903458+00:00,2024-09-10T14:35:14.903469+00:00
WORKSTATION,1,workstation,#ff66ff,DEVICE-CONFIG,9,1000,"dcim.devicetype,dcim.devicerole",2024-09-10T13:54:09.658009+00:00,2024-09-10T13:54:09.658022+00:00
ZEBRA,0,zebra,#ffffff,DEVICE-TYPE,18,1000,dcim.devicetype,2024-09-11T04:44:49.287575+00:00,2024-09-13T08:59:52.015506+00:00
ansible-audited,134,ansible-audited,#f44336,automatisiert gescanntes und aktualisiertes Netz,22,1000,"ipam.prefix,ipam.iprange",2024-11-22T06:18:27.267549+00:00,2024-11-22T06:18:27.267564+00:00
catalyst,36,catalyst,#9e9e9e,,23,1000,,2025-03-14T08:29:49.543165+00:00,2025-03-14T08:29:49.543174+00:00
iOS/iPadOS,0,iphone,#ffe4e1,DEVICE-TYPE,12,1000,dcim.device,2024-09-10T14:10:28.887240+00:00,2024-09-10T14:33:45.955241+00:00
imported,1290,imported,#9e9e9e,,24,1000,,2025-03-14T08:29:49.564192+00:00,2025-03-14T08:29:49.564201+00:00
macOS,0,macos,#ff66ff,DEVICE-TYPE,13,1000,dcim.devicetype,2024-09-10T14:34:39.553308+00:00,2024-09-10T14:34:39.553320+00:00
vCenter,0,vcenter,#9e9e9e,,25,1000,,2025-03-17T13:54:03.436138+00:00,2025-03-17T13:54:03.436147+00:00
